Bump	Bumped	JohnJenner	HeadOfRiver	Bumped	Crews	Overall	MensCrews	Club	Crew	Crews	Day	Bump	HeadOfRiver	JohnJenner	LadiesCrews	Mens/Ladies	LadiesCrews	MensCrews	Number of Records	Overall	Position	Total Crews	Up/Down	Updated	Year
1	0	4	0	0	1	1		Xpress	X-Press	1	Thurs	1	0	1	1	Women			1	3	4	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Thurs	1	0	1	1	Women			1	3	30	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Thurs	1	0	1	1	Women			1	3	44	49	1	Y	2016
0	0	0	0	1	1	0		Xpress	X-Press 4	1	Thurs	0	0	0	1	Women			1	-1	49	49	0	Y	2016
0	0	0	0	0	1	0		99	99	1	Tues	0	0	0	1	Women			1	0	3	49	0	Y	2016
0	0	0	0	0	1	0		99	99 2	1	Tues	0	0	0	1	Women			1	0	15	49	0	Y	2016
1	0	4	0	0	1	1		99	99 3	1	Tues	1	0	1	1	Women			1	1	18	49	1	Y	2016
0	0	0	0	0	1	0		99	99 4	1	Tues	0	0	0	1	Women			1	0	29	49	0	Y	2016
0	0	0	0	0	1	0		99	99 5	1	Tues	0	0	0	1	Women			1	0	41	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 6	1	Tues	0	0	-1	1	Women			1	-1	43	49	-1	Y	2016
1	0	4	0	0	1	1		Camb Vets	Camb Vets	1	Tues	1	0	1	1	Women			1	1	13	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs	1	Tues	0	0	0	1	Women			1	0	2	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 10	1	Tues	0	0	0	1	Women			1	0	47	49	0	Y	2016
1	0	4	0	1	1	1		Cantabs	Cantabs 11	1	Tues	1	0	1	1	Women			1	1	49	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 2	1	Tues	0	0	0	1	Women			1	0	7	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 3	1	Tues	0	0	0	1	Women			1	0	14	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 4	1	Tues	1	0	1	1	Women			1	1	24	49	1	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 5	1	Tues	0	0	-1	1	Women			1	-1	31	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 6	1	Tues	0	0	0	1	Women			1	0	33	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 7	1	Tues	0	0	-1	1	Women			1	-1	38	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 8	1	Tues	0	0	0	1	Women			1	0	42	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 9	1	Tues	0	0	-1	1	Women			1	-1	45	49	-1	Y	2016
0	0	0	0	0	1	0		Champs	Champs	1	Tues	0	0	0	1	Women			1	0	11	49	0	Y	2016
0	0	0	0	0	1	0		Champs	Champs 2	1	Tues	0	0	0	1	Women			1	0	16	49	0	Y	2016
0	0	0	0	0	1	0		Champs	Champs 3	1	Tues	0	0	0	1	Women			1	0	22	49	0	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 4	1	Tues	0	0	-1	1	Women			1	-1	23	49	-1	Y	2016
